study,level,level_time_s,radius_cm,temperature_signed_error_C,temperature_absolute_error_C,moisture_signed_error,moisture_absolute_error
time,1.0,172800.0,0.1,-3.54702933691442e-11,3.54702933691442e-11,-3.731112641069956e-11,3.731112641069956e-11
time,1.0,172800.0,0.2,-3.5413449950283393e-11,3.5413449950283393e-11,-3.719555219383608e-11,3.719555219383608e-11
time,1.0,172800.0,0.3,-3.4503955248510465e-11,3.4503955248510465e-11,-3.700442730014686e-11,3.700442730014686e-11
time,1.0,172800.0,0.4,-3.416289473534562e-11,3.416289473534562e-11,-3.674052728719346e-11,3.674052728719346e-11
time,1.0,172800.0,0.5,-3.3651303965598345e-11,3.3651303965598345e-11,-3.640837631380123e-11,3.640837631380123e-11
time,1.0,172800.0,0.6,-3.2741809263825417e-11,3.2741809263825417e-11,-3.60119434272832e-11,3.60119434272832e-11
time,1.0,172800.0,0.7,-3.2230218494078144e-11,3.2230218494078144e-11,-3.5559111211114214e-11,3.5559111211114214e-11
time,1.0,172800.0,0.8,-3.183231456205249e-11,3.183231456205249e-11,-3.5058927982944965e-11,3.5058927982944965e-11
time,1.0,172800.0,0.9,-2.9956481739645824e-11,2.9956481739645824e-11,-3.452829688832537e-11,3.452829688832537e-11
time,1.0,172800.0,1.0,-2.8421709430404007e-11,2.8421709430404007e-11,-3.397948589167754e-11,3.397948589167754e-11
time,1.0,172800.0,1.1,-2.7284841053187847e-11,2.7284841053187847e-11,-3.3437891344689774e-11,3.3437891344689774e-11
time,1.0,172800.0,1.2,-2.6489033189136535e-11,2.6489033189136535e-11,-3.293412764726611e-11,3.293412764726611e-11
time,1.0,172800.0,1.3,-2.518163455533795e-11,2.518163455533795e-11,-3.2512714742694016e-11,3.2512714742694016e-11
time,1.0,172800.0,1.4,-2.319211489520967e-11,2.319211489520967e-11,-3.224318034789064e-11,3.224318034789064e-11
time,1.0,172800.0,1.5,-2.114575181622058e-11,2.114575181622058e-11,-3.2233771207756945e-11,3.2233771207756945e-11
time,1.0,172800.0,1.6,-1.9610979506978765e-11,1.9610979506978765e-11,-3.2680858019773495e-11,3.2680858019773495e-11
time,1.0,172800.0,1.7,-1.5802470443304628e-11,1.5802470443304628e-11,-3.4003397320070405e-11,3.4003397320070405e-11
time,1.0,172800.0,1.8,-1.48929757415317e-11,1.48929757415317e-11,-3.73900493899626e-11,3.73900493899626e-11
time,1.0,172800.0,1.9,-1.404032445861958e-11,1.404032445861958e-11,-4.812522602648528e-11,4.812522602648528e-11
time,1.0,172800.0,2.0,-1.3415046851150692e-11,1.3415046851150692e-11,-5.442209183303959e-12,5.442209183303959e-12
time,1.0,259200.0,0.0,-3.9960923459148034e-11,3.9960923459148034e-11,-1.8576223892452504e-11,1.8576223892452504e-11
time,1.0,259200.0,0.1,-4.092726157978177e-11,4.092726157978177e-11,-1.8568091508797124e-11,1.8568091508797124e-11
time,1.0,259200.0,0.2,-4.0756731323199347e-11,4.0756731323199347e-11,-1.8540585733362036e-11,1.8540585733362036e-11
time,1.0,259200.0,0.3,-4.064304448547773e-11,4.064304448547773e-11,-1.8496093545650183e-11,1.8496093545650183e-11
time,1.0,259200.0,0.4,-4.007461029686965e-11,4.007461029686965e-11,-1.843045160931922e-11,1.843045160931922e-11
time,1.0,259200.0,0.5,-3.950617610826157e-11,3.950617610826157e-11,-1.8348628172404347e-11,1.8348628172404347e-11
time,1.0,259200.0,0.6,-3.916511559509672e-11,3.916511559509672e-11,-1.8248180744251385e-11,1.8248180744251385e-11
time,1.0,259200.0,0.7,-3.8255620893323794e-11,3.8255620893323794e-11,-1.8127971346260097e-11,1.8127971346260097e-11
time,1.0,259200.0,0.8,-3.7402969610411674e-11,3.7402969610411674e-11,-1.7987195066737627e-11,1.7987195066737627e-11
time,1.0,259200.0,0.9,-3.5925040720030665e-11,3.5925040720030665e-11,-1.7826795595254907e-11,1.7826795595254907e-11
time,1.0,259200.0,1.0,-3.439026841078885e-11,3.439026841078885e-11,-1.764194346165482e-11,1.764194346165482e-11
time,1.0,259200.0,1.1,-3.2741809263825417e-11,3.2741809263825417e-11,-1.743283295496667e-11,1.743283295496667e-11
time,1.0,259200.0,1.2,-3.115019353572279e-11,3.115019353572279e-11,-1.7198700796861033e-11,1.7198700796861033e-11
time,1.0,259200.0,1.3,-2.9672264645341784e-11,2.9672264645341784e-11,-1.695038553961581e-11,1.695038553961581e-11
time,1.0,259200.0,1.4,-2.8705926524708048e-11,2.8705926524708048e-11,-1.6701681704311966e-11,1.6701681704311966e-11
time,1.0,259200.0,1.5,-2.8194335754960775e-11,2.8194335754960775e-11,-1.6468965080562725e-11,1.6468965080562725e-11
time,1.0,259200.0,1.6,-2.6261659513693303e-11,2.6261659513693303e-11,-1.6281059833644917e-11,1.6281059833644917e-11
time,1.0,259200.0,1.7,-2.2282620193436742e-11,2.2282620193436742e-11,-1.621063006052026e-11,1.621063006052026e-11
